,Labels,Levels,Class,Storage,NAs
P_NUHPHB,"NUMBER OF HEPATITIS B/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMDAH,"NUMBER OF DTAP/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMDHI,"NUMBER OF DTAP/HEPB/IPV COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMDIH,"NUMBER OF DTAP/IPV/HIB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMDIHB,"NUMBER OF DTAP/IPV/HIB/HEPB COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMDTA,"NUMBER OF DTAP-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMDTP,"NUMBER OF DT-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMFLU,"NUMBER OF SEASONAL FLU-CONTAINING VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMFLUL,"NUMBER OF SEASONAL FLU-CONTAINING VACCINATIONS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMFLUM,"NUMBER OF SEASONAL FLU SPRAY VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMFLUN,"NUMBER OF INJECTED SEASONAL FLU VACCINATIONS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHEA,"NUMBER OF HEPATITIS A-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHEN,"NUMBER OF HEPATITIS B-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHEP,"NUMBER OF HEPATITIS B-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHG,"NUMBER OF HIB-GLAXOSMITHKLINE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHHY,"NUMBER OF HIB-MENCY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHIB,"NUMBER OF HIB-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHIN,"NUMBER OF HIB-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHION,"NUMBER OF HIB-ONLY SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHM,"NUMBER OF HIB-MERCK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMHS,"NUMBER OF HIB-SANOFI SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMIPV,"NUMBER OF IPV-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMCN,"NUMBER OF MEASLES-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMMR,"NUMBER OF MEASLES-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMMRX,"NUMBER OF MMR-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMMX,"NUMBER OF MMR-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMP,"NUMBER OF MUMPS-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMPR,"NUMBER OF (MUMPS/RUBELLA)-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMRV,"NUMBER OF MMR/VARICELLA COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMS,"NUMBER OF MEASLES-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMSM,"NUMBER OF MEASLES/MUMPS COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMMSR,"NUMBER OF MEASLES/RUBELLA COMBO SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMOLN,"NUMBER OF POLIO SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMOPV,"NUMBER OF OPV-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPCV,"NUMBER OF PNEUMOCOCCAL-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPCP,"NUMBER OF PNEUMOCOCCAL POLYSACCHARIDE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPCC,"NUMBER OF PNEUMOCOCCAL CONJUGATE SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPCC7,"NUMBER OF PNEUMOCOCCAL CONJUGATE-7 SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPCC13,"NUMBER OF PNEUMOCOCCAL CONJUGATE-13 SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPCC15,"NUMBER OF PNEUMOCOCCAL CONJUGATE-15 SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPCCN,"NUMBER OF PNEUMOCOCCAL CONJUGATE SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPCN,"NUMBER OF PNEUMOCOCCAL SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMPOL,"NUMBER OF POLIO-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMRB,"NUMBER OF RUBELLA-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMRG,"NUMBER OF ROTARIX-GSK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMRM,"NUMBER OF ROTATEQ-MERCK SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMRO,"NUMBER OF ROTAVIRUS SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMROT,"NUMBER OF ROTAVIRUS-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMTPN,"NUMBER OF DT-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMVRC,"NUMBER OF VARICELLA-CONTAINING SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMVRN,"NUMBER OF VARICELLA-CONTAINING SHOTS OF UNKNOWN TYPE BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_NUMVRX,"NUMBER OF VARICELLA-ONLY SHOTS BY 36 MONTHS OF AGE DETERMINED FROM PROVIDER INFO, EXCLUDING ANY VACCINATIONS AFTER THE HH INTERVIEW DATE.",0,integer,integer,18128
P_U12VRC,,2,,integer,18128
P_UTD331,,2,,integer,18128
P_UTD431,,2,,integer,18128
P_UTDHEP,,2,,integer,18128
P_UTDHEPA1,,2,,integer,18128
P_UTDHEPA2,,2,,integer,18128
P_UTDHIB,,2,,integer,18128
P_UTDHIB_ROUT_S,,2,,integer,18128
P_UTDHIB_SHORT_S,,2,,integer,18128
P_UTDMCV,,2,,integer,18128
P_UTDMMX,,2,,integer,18128
P_UTDPC3,,2,,integer,18128
P_UTDPCV,,2,,integer,18128
P_UTDPCVB13,,3,,integer,18128
P_UTDPOL,,2,,integer,18128
P_UTDROT_S,,2,,integer,18128
P_UTDTP3,,2,,integer,18128
P_UTDTP4,,2,,integer,18128
PU431331,,2,,integer,18128
P_UTD431H31_ROUT_S,,2,,integer,18128
PU4313313,,2,,integer,18128
P_UTD431H313_ROUT_S,,2,,integer,18128
PU4313314,,2,,integer,18128
P_UTD431H314_ROUT_S,,2,,integer,18128
PUT43133,,2,,integer,18128
P_UTD431H3_ROUT_S,,2,,integer,18128
PUTD4313,,2,,integer,18128
P_UTD431H_ROUT_S,,2,,integer,18128
U24_FLU_24D,,2,,integer,18128
U19_FLU_24D,,2,,integer,18128
U24_FLU3_24D,,2,,integer,18128
U1D_HEP,,2,,integer,18128
U2D_HEP,,2,,integer,18128
U3D_HEP,,2,,integer,18128
DDTP1,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #1,0,integer,integer,18736
DDTP2,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #2,0,integer,integer,18883
DDTP3,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #3,0,integer,integer,19098
DDTP4,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #4,0,integer,integer,20351
DDTP5,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #5,0,integer,integer,35452
DDTP6,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #6,0,integer,integer,35689
DDTP7,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #7,0,integer,integer,35699
DDTP8,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #8,0,logical,logical,35703
DDTP9,AGE IN DAYS OF PROV-REPTD DT-CONTAINING SHOT #9,0,logical,logical,35703
DFLU1,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #1,0,integer,integer,22071
DFLU2,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #2,0,integer,integer,23488
DFLU3,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #3,0,integer,integer,26627
DFLU4,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #4,0,integer,integer,32605
DFLU5,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #5,0,integer,integer,35498
DFLU6,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #6,0,integer,integer,35695
DFLU7,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #7,0,integer,integer,35701
DFLU8,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #8,0,integer,integer,35702
DFLU9,AGE IN DAYS OF PROV-REPTD SEASONAL FLU-CONTAINING VACCINATION #9,0,logical,logical,35703
DHEPA1,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #1,0,integer,integer,19699
DHEPA2,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #2,0,integer,integer,22909
DHEPA3,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #3,0,integer,integer,35611
DHEPA4,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #4,0,integer,integer,35702
DHEPA5,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #5,0,logical,logical,35703
DHEPA6,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #6,0,logical,logical,35703
DHEPA7,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #7,0,logical,logical,35703
DHEPA8,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #8,0,logical,logical,35703
DHEPA9,AGE IN DAYS OF PROV-REPTD HEPATITIS A-CONTAINING SHOT #9,0,logical,logical,35703
DHEPB1,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #1,0,integer,integer,18606
DHEPB2,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #2,0,integer,integer,18963
DHEPB3,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #3,0,integer,integer,19374
DHEPB4,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #4,0,integer,integer,29073
DHEPB5,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #5,0,integer,integer,35445
DHEPB6,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #6,0,integer,integer,35683
DHEPB7,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #7,0,integer,integer,35699
DHEPB8,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #8,0,logical,logical,35703
DHEPB9,AGE IN DAYS OF PROV-REPTD HEPATITIS B-CONTAINING SHOT #9,0,logical,logical,35703
DHIB1,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #1,0,integer,integer,18767
DHIB2,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #2,0,integer,integer,18993
DHIB3,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #3,0,integer,integer,19403
DHIB4,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #4,0,integer,integer,24619
DHIB5,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #5,0,integer,integer,35529
DHIB6,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #6,0,integer,integer,35698
DHIB7,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #7,0,integer,integer,35702
DHIB8,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #8,0,logical,logical,35703
DHIB9,AGE IN DAYS OF PROV-REPTD HIB-CONTAINING SHOT #9,0,logical,logical,35703
DMMR1,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #1,0,integer,integer,19253
DMMR2,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #2,0,integer,integer,35272
DMMR3,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #3,0,integer,integer,35692
DMMR4,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #4,0,integer,integer,35702
DMMR5,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #5,0,integer,integer,35702
DMMR6,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #6,0,logical,logical,35703
DMMR7,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #7,0,logical,logical,35703
DMMR8,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #8,0,logical,logical,35703
DMMR9,AGE IN DAYS OF PROV-REPTD MEASLES-CONTAINING SHOT #9,0,logical,logical,35703
DMP1,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #1,0,logical,logical,35703
DMP2,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #2,0,logical,logical,35703
DMP3,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #3,0,logical,logical,35703
DMP4,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #4,0,logical,logical,35703
DMP5,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #5,0,logical,logical,35703
DMP6,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #6,0,logical,logical,35703
DMP7,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #7,0,logical,logical,35703
DMP8,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #8,0,logical,logical,35703
DMP9,AGE IN DAYS OF PROV-REPTD MUMPS-ONLY SHOT #9,0,logical,logical,35703
DMPRB1,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #1,0,logical,logical,35703
DMPRB2,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #2,0,logical,logical,35703
DMPRB3,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #3,0,logical,logical,35703
DMPRB4,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #4,0,logical,logical,35703
DMPRB5,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #5,0,logical,logical,35703
DMPRB6,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #6,0,logical,logical,35703
DMPRB7,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #7,0,logical,logical,35703
DMPRB8,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #8,0,logical,logical,35703
DMPRB9,AGE IN DAYS OF PROV-REPTD (MUMPS/RUBELLA)-ONLY SHOT #9,0,logical,logical,35703
DPCV1,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #1,0,integer,integer,18738
DPCV2,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #2,0,integer,integer,18929
DPCV3,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #3,0,integer,integer,19204
DPCV4,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #4,0,integer,integer,20459
DPCV5,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #5,0,integer,integer,35527
DPCV6,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #6,0,integer,integer,35699
DPCV7,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #7,0,logical,logical,35703
DPCV8,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #8,0,logical,logical,35703
DPCV9,AGE IN DAYS OF PROV-REPTD PNEUMOCOCCAL-CONTAINING SHOT #9,0,logical,logical,35703
DPOLIO1,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #1,0,integer,integer,18773
DPOLIO2,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #2,0,integer,integer,18934
DPOLIO3,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #3,0,integer,integer,19193
DPOLIO4,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #4,0,integer,integer,31085
DPOLIO5,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #5,0,integer,integer,35610
DPOLIO6,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #6,0,integer,integer,35688
DPOLIO7,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #7,0,integer,integer,35702
DPOLIO8,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #8,0,logical,logical,35703
DPOLIO9,AGE IN DAYS OF PROV-REPTD POLIO-CONTAINING SHOT #9,0,logical,logical,35703
DRB1,AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #1,0,logical,logical,35703
DRB2,AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #2,0,logical,logical,35703
DRB3,AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #3,0,logical,logical,35703
DRB4,AGE IN DAYS OF PROV-REPTD RUBELLA-ONLY SHOT #4,0,logical,logical,35703
